"Categoria","Consulta","Estado","Filas","Duracion_seg","Error"
"01-inventario","01-inventario-maestro","OK","140","0.61",""
"01-inventario","02-resumen-por-tipo","OK","32","0.69",""
"01-inventario","03-resumen-por-suscripcion","OK","2","0.51",""
"01-inventario","04-resumen-por-ubicacion","OK","6","0.56",""
"02-etiquetado","01-cumplimiento-tags-obligatorios","OK","140","0.57",""
"02-etiquetado","02-cobertura-por-suscripcion","OK","2","0.67",""
"02-etiquetado","03-validacion-formato-tags","OK","0","0.57",""
"03-finops-waste","01-discos-no-asociados","OK","1","0.65",""
"03-finops-waste","02-public-ips-huerfanas","OK","0","0.61",""
"03-finops-waste","03-nics-sin-vm","OK","1","0.51",""
"03-finops-waste","04-vms-apagadas","OK","0","0.61",""
"03-finops-waste","05-snapshots-antiguos","OK","0","0.53",""
"04-monitoreo-recursos","01-vms-detalle","OK","4","0.5",""
"04-monitoreo-recursos","02-app-services-detalle","OK","7","1.63",""
"04-monitoreo-recursos","03-sql-databases-detalle","OK","0","0.61",""
"04-monitoreo-recursos","04-storage-accounts-detalle","ERROR","0","0.53","Operation returned an invalid status code 'BadRequest'"
"04-monitoreo-recursos","05-aks-clusters-detalle","OK","0","0.79",""
"05-seguridad","01-nsgs-reglas-permisivas","OK","3","0.51",""
"05-seguridad","02-vms-con-ip-publica","OK","3","0.63",""
"06-gobierno","01-azure-policy-compliance","OK","2","1.63",""
