"type","Cantidad"
"microsoft.automation/automationaccounts/runbooks","13"
"microsoft.storage/storageaccounts","11"
"microsoft.compute/disks","11"
"microsoft.insights/actiongroups","10"
"microsoft.insights/metricalerts","8"
"microsoft.web/sites","7"
"microsoft.compute/virtualmachines/extensions","7"
"microsoft.operationsmanagement/solutions","6"
"microsoft.web/serverfarms","5"
"microsoft.web/certificates","5"
"microsoft.network/networksecuritygroups","5"
"microsoft.network/networkinterfaces","5"
"microsoft.insights/components","5"
"microsoft.network/virtualnetworks","5"
"microsoft.operationalinsights/workspaces","4"
"microsoft.network/publicipaddresses","4"
"microsoft.network/networkwatchers","4"
"microsoft.compute/virtualmachines","4"
"microsoft.recoveryservices/vaults","3"
"microsoft.dbformysql/flexibleservers","3"
"microsoft.alertsmanagement/smartdetectoralertrules","2"
"microsoft.sqlvirtualmachine/sqlvirtualmachines","2"
"microsoft.compute/restorepointcollections","2"
"microsoft.datamigration/services","1"
"microsoft.operationalinsights/querypacks","1"
"microsoft.dataprotection/backupvaults","1"
"microsoft.network/localnetworkgateways","1"
"microsoft.insights/autoscalesettings","1"
"microsoft.automation/automationaccounts","1"
"microsoft.network/virtualnetworkgateways","1"
"microsoft.insights/activitylogalerts","1"
"microsoft.network/connections","1"
