"UsageDate","SubscriptionName","ResourceGroupName","ServiceName","ImporteMXN"
"02/01/2026 00:00:00","Azure Protg","extraccion-de-datos-etl","Backup","25.52"
"02/01/2026 00:00:00","Azure Protg","extraccion-de-datos-etl","Bandwidth","2.54"
"02/01/2026 00:00:00","Azure Protg","extraccion-de-datos-etl","Storage","4134.82"
"02/01/2026 00:00:00","Azure Protg","extraccion-de-datos-etl","Virtual Machines","1029.13"
"02/01/2026 00:00:00","Azure Protg","extraccion-de-datos-etl","Virtual Machines Licenses","2312.65"
"02/01/2026 00:00:00","Azure Protg","extraccion-de-datos-etl","Virtual Network","28.91"
"02/01/2026 00:00:00","Microsoft Azure","ai_osticket-wapp-insight_0785bd01-1b07-4315-8c52-0ade30310c05_managed","Log Analytics","83.84"
"02/01/2026 00:00:00","Microsoft Azure","cloud-shell-storage-southcentralus","Bandwidth","0"
"02/01/2026 00:00:00","Microsoft Azure","cloud-shell-storage-southcentralus","Storage","19.35"
"02/01/2026 00:00:00","Microsoft Azure","default-activitylogalerts","Azure Monitor","0"
"02/01/2026 00:00:00","Microsoft Azure","defaultresourcegroup-eus","Log Analytics","0"
"02/01/2026 00:00:00","Microsoft Azure","defaultresourcegroup-scus","Log Analytics","0.08"
"02/01/2026 00:00:00","Microsoft Azure","gpomoodleproductivo","Azure App Service","1005.1"
"02/01/2026 00:00:00","Microsoft Azure","gpomoodleproductivo","Azure Database for MySQL","1053.27"
"02/01/2026 00:00:00","Microsoft Azure","gpomoodleproductivo","Bandwidth","0"
"02/01/2026 00:00:00","Microsoft Azure","gpomoodleproductivo","Storage","9.36"
"02/01/2026 00:00:00","Microsoft Azure","osticket-pruebas","Azure App Service","0"
"02/01/2026 00:00:00","Microsoft Azure","osticket-webapp","Azure App Service","1083.85"
"02/01/2026 00:00:00","Microsoft Azure","osticket-webapp","Azure Database for MySQL","9045.75"
"02/01/2026 00:00:00","Microsoft Azure","osticket-webapp","Azure Monitor","0"
"02/01/2026 00:00:00","Microsoft Azure","osticket-webapp","Bandwidth","6.5"
"02/01/2026 00:00:00","Microsoft Azure","osticket-webapp","Storage","773.96"
"02/01/2026 00:00:00","Microsoft Azure","rgprotgprod","Azure Database for MySQL","354.16"
"02/01/2026 00:00:00","Microsoft Azure","rgprotgprod","Backup","1173.08"
"02/01/2026 00:00:00","Microsoft Azure","rgprotgprod","Bandwidth","0.53"
"02/01/2026 00:00:00","Microsoft Azure","rgprotgprod","Storage","3734.25"
"02/01/2026 00:00:00","Microsoft Azure","rgprotgprod","Virtual Machines","8330.8"
"02/01/2026 00:00:00","Microsoft Azure","rgprotgprod","Virtual Machines Licenses","0"
"02/01/2026 00:00:00","Microsoft Azure","rgprotgprod","Virtual Network","109.83"
"02/01/2026 00:00:00","Microsoft Azure","rgprotgprod","VPN Gateway","2745.76"
"02/01/2026 00:00:00","Microsoft Azure","rgprotgweb","Azure App Service","8309.53"
"02/01/2026 00:00:00","Microsoft Azure","rgprotgweb","Bandwidth","0.05"
"02/01/2026 00:00:00","Microsoft Azure","rgprotgweb","Storage","15.42"
"02/01/2026 00:00:00","Microsoft Azure","srv-mongo_group","Backup","128.61"
"02/01/2026 00:00:00","Microsoft Azure","startstop","Azure App Service","0"
"02/01/2026 00:00:00","Microsoft Azure","startstop","Azure Monitor","20.28"
"02/01/2026 00:00:00","Microsoft Azure","startstop","Bandwidth","0"
"02/01/2026 00:00:00","Microsoft Azure","startstop","Functions","0"
"02/01/2026 00:00:00","Microsoft Azure","startstop","Log Analytics","0"
"02/01/2026 00:00:00","Microsoft Azure","startstop","Logic Apps","0.04"
"02/01/2026 00:00:00","Microsoft Azure","startstop","Storage","2.36"
"03/01/2026 00:00:00","Azure Protg","extraccion-de-datos-etl","Backup","107.52"
"03/01/2026 00:00:00","Azure Protg","extraccion-de-datos-etl","Bandwidth","0.01"
"03/01/2026 00:00:00","Azure Protg","extraccion-de-datos-etl","Storage","11958"
"03/01/2026 00:00:00","Azure Protg","extraccion-de-datos-etl","Virtual Machines","2847.82"
"03/01/2026 00:00:00","Azure Protg","extraccion-de-datos-etl","Virtual Machines Licenses","6399.6"
"03/01/2026 00:00:00","Azure Protg","extraccion-de-datos-etl","Virtual Network","80"
"03/01/2026 00:00:00","Microsoft Azure","ai_osticket-wapp-insight_0785bd01-1b07-4315-8c52-0ade30310c05_managed","Log Analytics","0"
"03/01/2026 00:00:00","Microsoft Azure","cloud-shell-storage-southcentralus","Storage","19.35"
"03/01/2026 00:00:00","Microsoft Azure","default-activitylogalerts","Azure Monitor","0"
"03/01/2026 00:00:00","Microsoft Azure","defaultresourcegroup-eus","Log Analytics","0"
"03/01/2026 00:00:00","Microsoft Azure","defaultresourcegroup-scus","Log Analytics","0"
"03/01/2026 00:00:00","Microsoft Azure","osticket-pruebas","Azure App Service","0"
"03/01/2026 00:00:00","Microsoft Azure","osticket-webapp","Azure App Service","1199.98"
"03/01/2026 00:00:00","Microsoft Azure","osticket-webapp","Azure Database for MySQL","9991.08"
