"subscriptionId","resourceGroup","name","type","location","totalTags","estadoEtiquetado","tagsActuales"
"b428f40f-25ce-4000-b888-b850b9ffd789","extraccion-de-datos-etl","VM-SQL-ETL","microsoft.sqlvirtualmachine/sqlvirtualmachines","eastus","4","Etiquetado medio","{""Environment"":""Production"",""Application"":""ETL"",""CostCenter"":""ProTG"",""Client"":""ProTG""}"
"b428f40f-25ce-4000-b888-b850b9ffd789","glpi-protg","vm-glpi-vnet","microsoft.network/virtualnetworks","eastus","4","Etiquetado medio","{""Environment"":""Production"",""CostCenter"":""ProTG"",""Application"":""GLPI"",""Client"":""ProTG""}"
"b428f40f-25ce-4000-b888-b850b9ffd789","extraccion-de-datos-etl","VM-SQL-ETL-ip","microsoft.network/publicipaddresses","eastus","4","Etiquetado medio","{""Environment"":""Production"",""Application"":""ETL"",""CostCenter"":""ProTG"",""Client"":""ProTG""}"
"b428f40f-25ce-4000-b888-b850b9ffd789","extraccion-de-datos-etl","vm-sql-etl931_z1","microsoft.network/networkinterfaces","eastus","4","Etiquetado medio","{""Environment"":""Production"",""Application"":""ETL"",""CostCenter"":""ProTG"",""Client"":""ProTG""}"
"b428f40f-25ce-4000-b888-b850b9ffd789","glpi-protg","vm-glpi558","microsoft.network/networkinterfaces","eastus","4","Etiquetado medio","{""Environment"":""Production"",""CostCenter"":""ProTG"",""Application"":""GLPI"",""Client"":""ProTG""}"
"b428f40f-25ce-4000-b888-b850b9ffd789","extraccion-de-datos-etl","VM-SQL-ETL-nsg","microsoft.network/networksecuritygroups","eastus","4","Etiquetado medio","{""Environment"":""Production"",""Application"":""ETL"",""CostCenter"":""ProTG"",""Client"":""ProTG""}"
"b428f40f-25ce-4000-b888-b850b9ffd789","extraccion-de-datos-etl","VM-SQL-ETL_DataDisk_1","microsoft.compute/disks","eastus","4","Etiquetado medio","{""Environment"":""Production"",""Application"":""ETL"",""CostCenter"":""ProTG"",""Client"":""ProTG""}"
"b428f40f-25ce-4000-b888-b850b9ffd789","extraccion-de-datos-etl","storagedatosetl","microsoft.storage/storageaccounts","eastus","4","Etiquetado medio","{""Environment"":""Production"",""Application"":""ETL"",""CostCenter"":""ProTG"",""Client"":""ProTG""}"
"b428f40f-25ce-4000-b888-b850b9ffd789","extraccion-de-datos-etl","VM-SQL-ETL_DataDisk_2","microsoft.compute/disks","eastus","4","Etiquetado medio","{""Environment"":""Production"",""Application"":""ETL"",""CostCenter"":""ProTG"",""Client"":""ProTG""}"
"b428f40f-25ce-4000-b888-b850b9ffd789","glpi-protg","vm-glpi-ip","microsoft.network/publicipaddresses","eastus","4","Etiquetado medio","{""Environment"":""Production"",""CostCenter"":""ProTG"",""Application"":""GLPI"",""Client"":""ProTG""}"
